,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
loqvor,4,0.2684563758389262,dispono,4,0.26298487836949375,mos,4,0.26720106880427524,pax,4,0.2741603838245374,sors,4,0.24140012070006037,neqvaqvam,4,0.25773195876288657,cvro,4,0.2347417840375587,indicivm,5,0.30102347983142685,affero,3,0.2178649237472767,obsecro,4,0.25477707006369427
anima,4,0.2684563758389262,offero,4,0.26298487836949375,transfero,4,0.26720106880427524,aio,4,0.2741603838245374,svscipio,4,0.24140012070006037,celebro,4,0.25773195876288657,omnis,4,0.2347417840375587,rex,4,0.2408187838651415,proximvs,3,0.2178649237472767,valeo,4,0.25477707006369427
ivdicivm,4,0.2684563758389262,bellvm,4,0.26298487836949375,pontificatvs,4,0.26720106880427524,famvlvs/1,3,0.205620287868403,necessitas,4,0.24140012070006037,minister/1,4,0.25773195876288657,albinvs/n2,4,0.2347417840375587,nosco,4,0.2408187838651415,diversvs,3,0.2178649237472767,nox,4,0.25477707006369427
cerno,4,0.2684563758389262,sciscitor,4,0.26298487836949375,labor/1,4,0.26720106880427524,lego/2,3,0.205620287868403,exercitvs/1,4,0.24140012070006037,div,4,0.25773195876288657,ervdio,4,0.2347417840375587,disco,4,0.2408187838651415,oceanvs/1,3,0.2178649237472767,adhvc,4,0.25477707006369427
timeo,4,0.2684563758389262,svvm,4,0.26298487836949375,amor,4,0.26720106880427524,scriptvra,3,0.205620287868403,postmodvm,4,0.24140012070006037,gavdeo,4,0.25773195876288657,littera,4,0.2347417840375587,videlicet,4,0.2408187838651415,qvondam,3,0.2178649237472767,do,4,0.25477707006369427
perdvco,4,0.2684563758389262,edwin/n2,4,0.26298487836949375,qvantvs/1,4,0.26720106880427524,refero,3,0.205620287868403,paganvs,4,0.24140012070006037,eqvito,4,0.25773195876288657,nonnvllvs,4,0.2347417840375587,exinde,4,0.2408187838651415,occidens,3,0.2178649237472767,hodie,4,0.25477707006369427
resvrgo,4,0.2684563758389262,cvltvs/1,4,0.26298487836949375,creber,4,0.26720106880427524,devs,3,0.205620287868403,honorivs/n1,4,0.24140012070006037,praeparo/2,4,0.25773195876288657,pono,4,0.2347417840375587,pars,4,0.2408187838651415,maximvs,3,0.2178649237472767,consvetvdo,4,0.25477707006369427
canto,4,0.2684563758389262,appareo,4,0.26298487836949375,signvm,4,0.26720106880427524,occasio,3,0.205620287868403,eanfrith/n2,4,0.24140012070006037,prosvm/1,4,0.25773195876288657,mevs,4,0.2347417840375587,frater,4,0.2408187838651415,latitvdo,3,0.2178649237472767,virtvs,4,0.25477707006369427
accedo/1,4,0.2684563758389262,trado,4,0.26298487836949375,ablvo,4,0.26720106880427524,littera,3,0.205620287868403,aidan/n1,4,0.24140012070006037,exigo,4,0.25773195876288657,svpernvs,4,0.2347417840375587,qvondam,4,0.2408187838651415,compleo,3,0.2178649237472767,velvt/1,4,0.25477707006369427
cogitatio,4,0.2684563758389262,beneficivm,4,0.26298487836949375,disciplina,4,0.26720106880427524,nonnvllvs,3,0.205620287868403,vbicvmqve/2,4,0.24140012070006037,compositvm,4,0.25773195876288657,civitas,4,0.2347417840375587,civitas,4,0.2408187838651415,litvs,3,0.2178649237472767,ordino,4,0.25477707006369427
malignvs,4,0.2684563758389262,gavdeo,4,0.26298487836949375,vbicvmqve/2,4,0.26720106880427524,itaqve,3,0.205620287868403,ecclesiasticvs,3,0.18105009052504525,gens,3,0.19329896907216496,terra,4,0.2347417840375587,praeclarvs,4,0.2408187838651415,flvvivs,3,0.2178649237472767,cavsa,4,0.25477707006369427
castigo,4,0.2684563758389262,destrvo,4,0.26298487836949375,corripio,4,0.26720106880427524,exinde,3,0.205620287868403,prior,3,0.18105009052504525,probo,3,0.19329896907216496,primvs,4,0.2347417840375587,matvtinvs,4,0.2408187838651415,capio/2,3,0.2178649237472767,siqvidem,4,0.25477707006369427
miser,4,0.2684563758389262,disco,3,0.19723865877712032,rex,3,0.2004008016032064,episcopvs,3,0.205620287868403,dignvs,3,0.18105009052504525,sedvlvs,3,0.19329896907216496,aspicio,4,0.2347417840375587,facio,4,0.2408187838651415,calidvs,3,0.2178649237472767,neqvaqvam,4,0.25477707006369427
horreo,4,0.2684563758389262,cvro,3,0.19723865877712032,bonvs,3,0.2004008016032064,credo,3,0.205620287868403,cvro,3,0.18105009052504525,nosco,3,0.19329896907216496,dvo,4,0.2347417840375587,perhibeo,4,0.2408187838651415,aqva,3,0.2178649237472767,pax,4,0.25477707006369427
vervs,3,0.20134228187919465,videlicet,3,0.19723865877712032,disco,3,0.2004008016032064,britannia/n,3,0.205620287868403,revereor,3,0.18105009052504525,avditor,3,0.19329896907216496,ritvs,4,0.2347417840375587,do,4,0.2408187838651415,aer,3,0.2178649237472767,oportet,4,0.25477707006369427
refero,3,0.20134228187919465,consilivm,3,0.19723865877712032,revereor,3,0.2004008016032064,voco,3,0.205620287868403,permitto,3,0.18105009052504525,ibi,3,0.19329896907216496,potestas,4,0.2347417840375587,tantvs,4,0.2408187838651415,lvcidvs,3,0.2178649237472767,observo,4,0.25477707006369427
devs,3,0.20134228187919465,colligo/3,3,0.19723865877712032,memoria,3,0.2004008016032064,soleo,3,0.205620287868403,dico/2,3,0.18105009052504525,reverto,3,0.19329896907216496,vrbs,4,0.2347417840375587,aeternvs,4,0.2408187838651415,advenio,3,0.2178649237472767,praebeo,4,0.25477707006369427
scribo,3,0.20134228187919465,praesens,3,0.19723865877712032,venio,3,0.2004008016032064,dies,3,0.205620287868403,nordanhymbri/n,3,0.18105009052504525,affero,3,0.19329896907216496,svpra/2,4,0.2347417840375587,ibidem,4,0.2408187838651415,decem,3,0.2178649237472767,contemno,4,0.25477707006369427
pars,3,0.20134228187919465,episcopvs,3,0.19723865877712032,percipio,3,0.2004008016032064,hora,3,0.205620287868403,deniqve,3,0.18105009052504525,colligo/3,3,0.19329896907216496,filia,4,0.2347417840375587,ieivnivm,4,0.2408187838651415,scientia,3,0.2178649237472767,confirmo,4,0.25477707006369427
erga,3,0.20134228187919465,veritas,3,0.19723865877712032,frater,3,0.2004008016032064,nvmervs,3,0.205620287868403,opvs/1,3,0.18105009052504525,pervenio,3,0.19329896907216496,ivvenis/2,4,0.2347417840375587,defvngor,4,0.2408187838651415,commvnis,3,0.2178649237472767,postmodvm,4,0.25477707006369427
scio,3,0.20134228187919465,habeo,3,0.19723865877712032,sancio,3,0.2004008016032064,inqvio,3,0.205620287868403,episcopvs,3,0.18105009052504525,vita,3,0.19329896907216496,revoco,4,0.2347417840375587,caro/1,4,0.2408187838651415,incipio,3,0.2178649237472767,termino,4,0.25477707006369427
habeo,3,0.20134228187919465,mens,3,0.19723865877712032,svpernvs,3,0.2004008016032064,vivo,3,0.205620287868403,sancio,3,0.18105009052504525,lindissi/n,3,0.19329896907216496,faveo,4,0.2347417840375587,ordino,4,0.2408187838651415,perhibeo,3,0.2178649237472767,virginivs/n,4,0.25477707006369427
mevs,3,0.20134228187919465,locvs,3,0.19723865877712032,britannia/n,3,0.2004008016032064,fvtvrvs,3,0.205620287868403,flvvivs,3,0.18105009052504525,valeo,3,0.19329896907216496,cvpio,4,0.2347417840375587,etenim,4,0.2408187838651415,dvx,3,0.2178649237472767,historia,3,0.1910828025477707
credo,3,0.20134228187919465,britannia/n,3,0.19723865877712032,voco,3,0.2004008016032064,virtvs,3,0.205620287868403,mvltvm/2,3,0.18105009052504525,ivxta/1,3,0.19329896907216496,libet,3,0.17605633802816903,opera,4,0.2408187838651415,potivs,3,0.2178649237472767,lego/2,3,0.1910828025477707
voco,3,0.20134228187919465,voco,3,0.19723865877712032,aqva,3,0.2004008016032064,ira,3,0.205620287868403,permaneo,3,0.18105009052504525,fero,3,0.19329896907216496,lego/2,3,0.17605633802816903,anima,4,0.2408187838651415,totvs,3,0.2178649237472767,stvdivm,3,0.1910828025477707
pvlcher,3,0.20134228187919465,ignis,3,0.19723865877712032,facio,3,0.2004008016032064,dominicvs,3,0.205620287868403,sicvt/1,3,0.18105009052504525,intro/1,3,0.19329896907216496,nvnc,3,0.17605633802816903,ocvlvs,4,0.2408187838651415,egredior,3,0.2178649237472767,noster,3,0.1910828025477707
valeo,3,0.20134228187919465,adhvc,3,0.19723865877712032,contingo/1,3,0.2004008016032064,saecvlvm,3,0.205620287868403,contra/2,3,0.18105009052504525,magnvs,3,0.19329896907216496,avdio,3,0.17605633802816903,membrvm,4,0.2408187838651415,sinvs,3,0.2178649237472767,accendo,3,0.1910828025477707
ignis,3,0.20134228187919465,peto,3,0.19723865877712032,dono,3,0.2004008016032064,saecvlaris,3,0.205620287868403,sex,3,0.18105009052504525,vivo,3,0.19329896907216496,sedvlvs,3,0.17605633802816903,exsvrgo,4,0.2408187838651415,consvetvdo,3,0.2178649237472767,rego,3,0.1910828025477707
incipio,3,0.20134228187919465,servo,3,0.19723865877712032,aspicio,3,0.2004008016032064,diaconvs,3,0.205620287868403,primvs,3,0.18105009052504525,addo,3,0.19329896907216496,nosco,3,0.17605633802816903,consecro,4,0.2408187838651415,ibidem,3,0.2178649237472767,dvbito,3,0.1910828025477707
aspicio,3,0.20134228187919465,tertivs,3,0.19723865877712032,volo/3,3,0.2004008016032064,semper,3,0.205620287868403,ambo/2,3,0.18105009052504525,spativm,3,0.19329896907216496,noster,3,0.17605633802816903,qviesco,4,0.2408187838651415,offero,3,0.2178649237472767,disco,3,0.1910828025477707
volo/3,3,0.20134228187919465,maneo,3,0.19723865877712032,sto,3,0.2004008016032064,cavsa,3,0.205620287868403,habito,3,0.18105009052504525,consvetvdo,3,0.19329896907216496,refero,3,0.17605633802816903,circvmdo,4,0.2408187838651415,gavdeo,3,0.2178649237472767,qvondam,3,0.1910828025477707
servo,3,0.20134228187919465,religio,3,0.19723865877712032,vivo,3,0.2004008016032064,job/n,3,0.205620287868403,hactenvs,3,0.18105009052504525,dvo,3,0.19329896907216496,pivs,3,0.17605633802816903,appono,4,0.2408187838651415,christvs/n,2,0.14524328249818447,civitas,3,0.1910828025477707
sto,3,0.20134228187919465,ibidem,3,0.19723865877712032,percvtio,3,0.2004008016032064,vtilis,3,0.205620287868403,dives,3,0.18105009052504525,capvt,3,0.19329896907216496,devs,3,0.17605633802816903,locvlvs,4,0.2408187838651415,angli/n,2,0.14524328249818447,vter/4,3,0.1910828025477707
rarvs,3,0.20134228187919465,domvs,3,0.19723865877712032,familia,3,0.2004008016032064,expositio,3,0.205620287868403,servio,3,0.18105009052504525,regnvm,3,0.19329896907216496,nothhelm/n2,3,0.17605633802816903,sano,4,0.2408187838651415,stvdivm,2,0.14524328249818447,incipio,3,0.1910828025477707
remaneo,3,0.20134228187919465,assensvs,3,0.19723865877712032,mitto,3,0.2004008016032064,ivvo,3,0.205620287868403,animvs,3,0.18105009052504525,licentia,3,0.19329896907216496,vivvs/2,3,0.17605633802816903,morbvs,4,0.2408187838651415,avris,2,0.14524328249818447,tantvs,3,0.1910828025477707
talis,3,0.20134228187919465,deprecor,3,0.19723865877712032,donec,3,0.2004008016032064,catholicvs,3,0.205620287868403,delecto,3,0.18105009052504525,nolo,3,0.19329896907216496,praesens,3,0.17605633802816903,devoveo,4,0.2408187838651415,maxime,2,0.14524328249818447,capvt,3,0.1910828025477707
egredior,3,0.20134228187919465,iste,3,0.19723865877712032,vocabvlvm,3,0.2004008016032064,svblimo,3,0.205620287868403,debeo,3,0.18105009052504525,socio,3,0.19329896907216496,saxones/n,3,0.17605633802816903,exavdio,4,0.2408187838651415,noster,2,0.14524328249818447,interpres,3,0.1910828025477707
secerno,3,0.20134228187919465,animvs,3,0.19723865877712032,ibidem,3,0.2004008016032064,compono,3,0.205620287868403,dominicvs,3,0.18105009052504525,servio,3,0.19329896907216496,nordanhymbri/n,3,0.17605633802816903,somnivm,4,0.2408187838651415,bonvs,2,0.14524328249818447,commvnico,3,0.1910828025477707
aeternvs,3,0.20134228187919465,confero,3,0.19723865877712032,praedico/3,3,0.2004008016032064,lvx,3,0.205620287868403,incarnatio,3,0.18105009052504525,dvlcedo,3,0.19329896907216496,avstralis,3,0.17605633802816903,presbyter,3,0.1806140878988561,rego,2,0.14524328249818447,nolo,3,0.1910828025477707
regnvm,3,0.20134228187919465,sermo,3,0.19723865877712032,peregrinvs/2,3,0.2004008016032064,discretio,3,0.205620287868403,ordino,3,0.18105009052504525,convenio,3,0.19329896907216496,aetas,3,0.17605633802816903,verbvm,3,0.1806140878988561,brevis,2,0.14524328249818447,doctrina,3,0.1910828025477707
antea,3,0.20134228187919465,stvdiosvs,3,0.19723865877712032,consvo,3,0.2004008016032064,dolor,3,0.205620287868403,svpra/2,3,0.18105009052504525,svavis,3,0.19329896907216496,advenio,3,0.17605633802816903,simvl/1,3,0.1806140878988561,adivtor/1,2,0.14524328249818447,doctor,3,0.1910828025477707
praedico/3,3,0.20134228187919465,qvomodo/1,3,0.19723865877712032,intentio,3,0.2004008016032064,pes,3,0.205620287868403,constrvo,3,0.18105009052504525,congrvvs,3,0.19329896907216496,accipio,3,0.17605633802816903,cvro,3,0.1806140878988561,institvo,2,0.14524328249818447,possessio,3,0.1910828025477707
appropinqvo,3,0.20134228187919465,intelligo,3,0.19723865877712032,fvngor,3,0.2004008016032064,praedicator,3,0.205620287868403,os/1,3,0.18105009052504525,gero,3,0.19329896907216496,dono,3,0.17605633802816903,sancio,3,0.1806140878988561,papa,2,0.14524328249818447,annvs,3,0.1910828025477707
ieivnivm,3,0.20134228187919465,mater,3,0.19723865877712032,lectio,3,0.2004008016032064,eripio,3,0.205620287868403,pax,3,0.18105009052504525,transeo/1,3,0.19329896907216496,coepio,3,0.17605633802816903,certvs,3,0.1806140878988561,vox,2,0.14524328249818447,profero,3,0.1910828025477707
caelestis,3,0.20134228187919465,ecce,3,0.19723865877712032,resvrrectio,3,0.2004008016032064,barbarvs/2,3,0.205620287868403,idvs,3,0.18105009052504525,amor,3,0.19329896907216496,consentio,3,0.17605633802816903,ardor,3,0.1806140878988561,itaqve,2,0.14524328249818447,dvco,3,0.1910828025477707
converto,3,0.20134228187919465,impleo,3,0.19723865877712032,ocvlvs,3,0.2004008016032064,exercitvs/1,3,0.205620287868403,teneo,3,0.18105009052504525,patefacio,3,0.19329896907216496,popvlvs/1,3,0.17605633802816903,modvs,3,0.1806140878988561,fides/2,2,0.14524328249818447,labor/1,3,0.1910828025477707
differo,3,0.20134228187919465,teneo,3,0.19723865877712032,nescio,3,0.2004008016032064,gloriosvs,2,0.1370801919122687,minister/1,3,0.18105009052504525,anima,3,0.19329896907216496,familia,3,0.17605633802816903,praeter/2,3,0.1806140878988561,episcopvs,2,0.14524328249818447,potis,3,0.1910828025477707
exter,3,0.20134228187919465,vvltvs,3,0.19723865877712032,minister/1,3,0.2004008016032064,rex,2,0.1370801919122687,pascha,3,0.18105009052504525,pecvnia,3,0.19329896907216496,christianvs/2,3,0.17605633802816903,lingva,3,0.1806140878988561,innvmervs,2,0.14524328249818447,intelligo,3,0.1910828025477707
gravis,3,0.20134228187919465,aio,3,0.19723865877712032,narro,3,0.2004008016032064,prior,2,0.1370801919122687,vltra/2,3,0.18105009052504525,ivdicivm,3,0.19329896907216496,cvnctvs,3,0.17605633802816903,intro/1,3,0.1806140878988561,excipio,2,0.14524328249818447,edoceo,3,0.1910828025477707
rogo,3,0.20134228187919465,praedico/1,3,0.19723865877712032,sedeo,3,0.2004008016032064,meditor,2,0.1370801919122687,svfficio,3,0.18105009052504525,dispono,3,0.19329896907216496,doctor,3,0.17605633802816903,peto,3,0.1806140878988561,lindisfarnensis/a,2,0.14524328249818447,exspecto,3,0.1910828025477707
clarvs,3,0.20134228187919465,arma,3,0.19723865877712032,invicem,3,0.2004008016032064,sedvlvs,2,0.1370801919122687,virvs,3,0.18105009052504525,offero,3,0.19329896907216496,dominicvs,3,0.17605633802816903,impetro,3,0.1806140878988561,certvs,2,0.14524328249818447,commendo,3,0.1910828025477707
ostendo,3,0.20134228187919465,regno,3,0.19723865877712032,albatvs,3,0.2004008016032064,vervs,2,0.1370801919122687,qvod/1,3,0.18105009052504525,silentivm,3,0.19329896907216496,defvngor,3,0.17605633802816903,vxor,3,0.1806140878988561,siqvis,2,0.14524328249818447,svscipio,3,0.1910828025477707
dolor,3,0.20134228187919465,perimo,3,0.19723865877712032,porticvs,3,0.2004008016032064,nosco,2,0.1370801919122687,ebvracvm/n,3,0.18105009052504525,aio,3,0.19329896907216496,praemivm,3,0.17605633802816903,res,3,0.1806140878988561,veritas,2,0.14524328249818447,perficio,3,0.1910828025477707
ingenivm,3,0.20134228187919465,occido/1,3,0.19723865877712032,excito/1,3,0.2004008016032064,pravvs,2,0.1370801919122687,lavacrvm,3,0.18105009052504525,rvrsvs,3,0.19329896907216496,ivdicivm,3,0.17605633802816903,egredior,3,0.1806140878988561,corpvs,2,0.14524328249818447,narro,3,0.1910828025477707
libero,3,0.20134228187919465,salvtaris,3,0.19723865877712032,cvpio,3,0.2004008016032064,religiosvs,2,0.1370801919122687,catechizo,3,0.18105009052504525,regno,3,0.19329896907216496,spero,3,0.17605633802816903,ferme,3,0.1806140878988561,gallia/n,2,0.14524328249818447,vniversalis,3,0.1910828025477707
hostis,3,0.20134228187919465,donvm,3,0.19723865877712032,insisto,3,0.2004008016032064,pivs,2,0.1370801919122687,imbvo,3,0.18105009052504525,appareo,3,0.19329896907216496,congrego,3,0.17605633802816903,gavdivm,3,0.1806140878988561,hispania/n,2,0.14524328249818447,sacrosanctvs,3,0.1910828025477707
teneo,3,0.20134228187919465,abeo/1,3,0.19723865877712032,insto,3,0.2004008016032064,accendo,2,0.1370801919122687,episcopatvs,3,0.18105009052504525,introdvco,3,0.19329896907216496,svccedo/1,3,0.17605633802816903,vocabvlvm,3,0.1806140878988561,mille/2,2,0.14524328249818447,trado,3,0.1910828025477707
narro,3,0.20134228187919465,foris/2,3,0.19723865877712032,presbyter,2,0.13360053440213762,latvs/2,2,0.1370801919122687,conseqvor,3,0.18105009052504525,actio,3,0.19329896907216496,qvaero,3,0.17605633802816903,oratio,3,0.1806140878988561,tractvs,2,0.14524328249818447,veneratio,3,0.1910828025477707
amplvs,3,0.20134228187919465,continvo/2,3,0.19723865877712032,stvdivm,2,0.13360053440213762,scribo,2,0.1370801919122687,basilica,3,0.18105009052504525,confestim,3,0.19329896907216496,pergo,3,0.17605633802816903,gradvs,3,0.1806140878988561,qvinqve,2,0.14524328249818447,mentio/1,3,0.1910828025477707
virvs,3,0.20134228187919465,reqviro,3,0.19723865877712032,amplector,2,0.13360053440213762,cetervs,2,0.1370801919122687,medivm,3,0.18105009052504525,lignvm,3,0.19329896907216496,qvisqvam,3,0.17605633802816903,involvo,3,0.1806140878988561,meridies,2,0.14524328249818447,removeo,3,0.1910828025477707
appareo,3,0.20134228187919465,qvod/1,3,0.19723865877712032,verbvm,2,0.13360053440213762,disco,2,0.1370801919122687,oratorivm,3,0.18105009052504525,sanitas,3,0.19329896907216496,honorificvs,3,0.17605633802816903,expleo,3,0.1806140878988561,portvs,2,0.14524328249818447,controversia,3,0.1910828025477707
nvmqvam,3,0.20134228187919465,qvaero,3,0.19723865877712032,pivs,2,0.13360053440213762,exsisto,2,0.1370801919122687,aedifico,3,0.18105009052504525,clades,3,0.19329896907216496,corrigo,3,0.17605633802816903,qvantvs/1,3,0.1806140878988561,qvinqvaginta,2,0.14524328249818447,sollemnis,3,0.1910828025477707
svrgo,3,0.20134228187919465,templvm,3,0.19723865877712032,reverto,2,0.13360053440213762,institvo,2,0.1370801919122687,parvvlvs,3,0.18105009052504525,pavlatim,3,0.19329896907216496,consido,3,0.17605633802816903,loqvor,3,0.1806140878988561,tergvm,2,0.14524328249818447,nvmqvid,3,0.1910828025477707
tormentvm,3,0.20134228187919465,fanvm,3,0.19723865877712032,pars,2,0.13360053440213762,vox,2,0.1370801919122687,solvm/2,3,0.18105009052504525,iter,3,0.19329896907216496,visito,3,0.17605633802816903,benedictio,3,0.1806140878988561,frvx,2,0.14524328249818447,sceptrvm,3,0.1910828025477707
similis,3,0.20134228187919465,erigo,3,0.19723865877712032,deniqve,2,0.13360053440213762,videlicet,2,0.1370801919122687,interimo,3,0.18105009052504525,reliqviae,3,0.19329896907216496,metrvm,3,0.17605633802816903,ivdicivm,3,0.1806140878988561,pecvs/1,2,0.14524328249818447,provisio,3,0.1910828025477707
rapio,3,0.20134228187919465,orior,3,0.19723865877712032,svpersvm/1,2,0.13360053440213762,praesvm/1,2,0.1370801919122687,eadbald/n2,3,0.18105009052504525,visito,3,0.19329896907216496,eximivs,3,0.17605633802816903,exspecto,3,0.1806140878988561,ivmentvm,2,0.14524328249818447,dispensatio,3,0.1910828025477707
proverbivm,3,0.20134228187919465,gens,2,0.13149243918474687,condo,2,0.13360053440213762,insero/2,2,0.1370801919122687,praefatvs/1,3,0.18105009052504525,signo,3,0.19329896907216496,aliqvot,3,0.17605633802816903,perdvco,3,0.1806140878988561,vinea,2,0.14524328249818447,gens,2,0.12738853503184713
cresco,3,0.20134228187919465,sedvlvs,2,0.13149243918474687,erga,2,0.13360053440213762,volvmen,2,0.1370801919122687,gloriosvs,2,0.12070006035003018,christvs/n,2,0.12886597938144329,accvso,3,0.17605633802816903,migro,3,0.1806140878988561,genvs/1,2,0.14524328249818447,angli/n,2,0.12738853503184713
immensvs,3,0.20134228187919465,noster,2,0.13149243918474687,libellvs,2,0.13360053440213762,praesens,2,0.1370801919122687,maxime,2,0.12070006035003018,refero,2,0.12886597938144329,gloriosvs,2,0.11737089201877934,tollo,3,0.1806140878988561,abvndo,2,0.14524328249818447,avdio,2,0.12738853503184713
depono,3,0.20134228187919465,bonvs,2,0.13149243918474687,certvs,2,0.13360053440213762,indvstria,2,0.1370801919122687,exsisto,2,0.12070006035003018,pivs,2,0.12886597938144329,nvper,2,0.11737089201877934,femina,3,0.1806140878988561,color,2,0.14524328249818447,religiosvs,2,0.12738853503184713
pavlatim,3,0.20134228187919465,memoro,2,0.13149243918474687,siqvis,2,0.13360053440213762,perfero,2,0.1370801919122687,cantvari/n,2,0.12070006035003018,salvs,2,0.12886597938144329,stvdivm,2,0.11737089201877934,statim,3,0.1806140878988561,pvlcher,2,0.14524328249818447,cognosco,2,0.12738853503184713
pvella,3,0.20134228187919465,divinvs/2,2,0.13149243918474687,veritas,2,0.13360053440213762,orientalis,2,0.1370801919122687,archiepiscopvs,2,0.12070006035003018,disco,2,0.12886597938144329,illvstris,2,0.11737089201877934,appareo,3,0.1806140878988561,vmqvam,2,0.14524328249818447,avctoritas,2,0.12738853503184713
emendo,3,0.20134228187919465,cetervs,2,0.13149243918474687,infirmitas,2,0.13360053440213762,evangelivm,2,0.1370801919122687,venerabilis,2,0.12070006035003018,venerabilis,2,0.12886597938144329,bonvs,2,0.11737089201877934,introdvco,3,0.1806140878988561,ardeo,2,0.14524328249818447,abbas,2,0.12738853503184713
tametsi,3,0.20134228187919465,roma/n,2,0.13149243918474687,singvlvs,2,0.13360053440213762,ministerivm,2,0.1370801919122687,diligens,2,0.12070006035003018,institvo,2,0.12886597938144329,avditor,2,0.11737089201877934,absolvo,3,0.1806140878988561,ferrvm,2,0.14524328249818447,discipvlvs,2,0.12738853503184713
splendor,3,0.20134228187919465,saxones/n,2,0.13149243918474687,nomen,2,0.13360053440213762,cognomino,2,0.1370801919122687,papa,2,0.12070006035003018,postea,2,0.12886597938144329,sollicitvs,2,0.11737089201877934,gavdeo,3,0.1806140878988561,lapis,2,0.14524328249818447,hinc,2,0.12738853503184713
repeto,3,0.20134228187919465,qvalis/1,2,0.13149243918474687,civitas,2,0.13360053440213762,testis/1,2,0.1370801919122687,postea,2,0.12070006035003018,deniqve,2,0.12886597938144329,svbtraho,2,0.11737089201877934,diligo/3,3,0.1806140878988561,plvrimvs,2,0.14524328249818447,svccessor,2,0.12738853503184713
dvlcis,3,0.20134228187919465,erga,2,0.13149243918474687,valeo,2,0.13360053440213762,sancio,2,0.1370801919122687,invenio,2,0.12070006035003018,svpersvm/1,2,0.12886597938144329,opvscvlvm,2,0.11737089201877934,incorrvptvs,3,0.1806140878988561,optimvs,2,0.14524328249818447,mando/2,2,0.12738853503184713
horridvs,3,0.20134228187919465,innvmervs,2,0.13149243918474687,recipio,2,0.13360053440213762,reperio,2,0.1370801919122687,pater,2,0.12070006035003018,ministerivm,2,0.12886597938144329,doceo,2,0.11737089201877934,nvncvpo,3,0.1806140878988561,admoveo,2,0.14524328249818447,pervenio,2,0.12738853503184713
despero,3,0.20134228187919465,certvs,2,0.13149243918474687,aer,2,0.13360053440213762,mens,2,0.1370801919122687,affero,2,0.12070006035003018,condo,2,0.12886597938144329,archiepiscopvs,2,0.11737089201877934,gravo,3,0.1806140878988561,octo,2,0.14524328249818447,memini,2,0.12738853503184713
christvs/n,2,0.1342281879194631,adicio,2,0.13149243918474687,vter/4,2,0.13360053440213762,locvs,2,0.1370801919122687,praesens,2,0.12070006035003018,sancio,2,0.12886597938144329,discipvlvs,2,0.11737089201877934,lavo/1,3,0.1806140878988561,instrvo,2,0.14524328249818447,lindisfarnensis/a,2,0.12738853503184713
presbyter,2,0.1342281879194631,credo,2,0.13149243918474687,permaneo,2,0.13360053440213762,incola,2,0.1370801919122687,svccessor,2,0.12070006035003018,svpernvs,2,0.12886597938144329,monvmentvm,2,0.11737089201877934,iter,3,0.1806140878988561,mvndvs/1,2,0.14524328249818447,pono,2,0.12738853503184713
stvdivm,2,0.1342281879194631,nomen,2,0.13149243918474687,redeo/1,2,0.13360053440213762,nomen,2,0.1370801919122687,occidentalis,2,0.12070006035003018,tergvm,2,0.12886597938144329,vox,2,0.11737089201877934,nvntio,3,0.1806140878988561,qvaestio,2,0.14524328249818447,lex,2,0.12738853503184713
sedvlvs,2,0.1342281879194631,ferrvm,2,0.13149243918474687,contra/2,2,0.13360053440213762,qvinqve,2,0.1370801919122687,proximvs,2,0.12070006035003018,vmqvam,2,0.12886597938144329,permitto,2,0.11737089201877934,elevo/1,3,0.1806140878988561,permaneo,2,0.14524328249818447,mevs,2,0.12738853503184713
dignvs,2,0.1342281879194631,argentvm,2,0.13149243918474687,ergo/2,2,0.13360053440213762,civitas,2,0.1370801919122687,insvla,2,0.12070006035003018,modvs,2,0.12886597938144329,consilivm,2,0.11737089201877934,lvmen,3,0.1806140878988561,plaga/2,2,0.14524328249818447,nvllvs,2,0.12738853503184713
abba,2,0.1342281879194631,gigno,2,0.13149243918474687,consto,2,0.13360053440213762,genvs/1,2,0.1370801919122687,mercii/n,2,0.12070006035003018,aqva,2,0.12886597938144329,praefor,2,0.11737089201877934,palvs/2,3,0.1806140878988561,sicvt/1,2,0.14524328249818447,nobilis/2,2,0.12738853503184713
doceo,2,0.1342281879194631,nox,2,0.13149243918474687,tvmor,2,0.13360053440213762,nvllvs,2,0.1370801919122687,recipero,2,0.12070006035003018,lapis,2,0.12886597938144329,reverens,2,0.11737089201877934,desvper,3,0.1806140878988561,brvma,2,0.14524328249818447,praeter/2,2,0.12738853503184713
regio,2,0.1342281879194631,dies,2,0.13149243918474687,praecipio,2,0.13360053440213762,venvstvs,2,0.1370801919122687,excipio,2,0.12070006035003018,prope/2,2,0.12886597938144329,affero,2,0.11737089201877934,gloriosvs,2,0.12040939193257075,nimirvm,2,0.14524328249818447,nimirvm,2,0.12738853503184713
