,Topic1,,,Topic2,
Word,Count,Percentage,Word,Count,Percentage
cheralt,1,0.6060606060606061,bavzatoribvs,1,0.5494505494505495
come,1,0.6060606060606061,bavzia,1,0.5494505494505495
comendationem,1,0.6060606060606061,bavziis,1,0.5494505494505495
comendatvs,1,0.6060606060606061,berengarii,1,0.5494505494505495
comendent,1,0.6060606060606061,borrelli,1,0.5494505494505495
comitas,1,0.6060606060606061,burgus,1,0.5494505494505495
comitores,1,0.6060606060606061,bvrgenses,1,0.5494505494505495
competencia,1,0.6060606060606061,camino,1,0.5494505494505495
condirectionem,1,0.6060606060606061,castlani,1,0.5494505494505495
consideratamente,1,0.6060606060606061,cavalcatas,1,0.5494505494505495
consvetudines,1,0.6060606060606061,cavalieriam,1,0.5494505494505495
contvmeiiam,1,0.6060606060606061,cavalleriam,1,0.5494505494505495
convento,1,0.6060606060606061,cavallo,1,0.5494505494505495
crucibus,1,0.6060606060606061,cervilione,1,0.5494505494505495
cunctus,1,0.6060606060606061,cicivs,1,0.5494505494505495
cvcia,1,0.6060606060606061,clarimontis,1,0.5494505494505495
cvgvz,1,0.6060606060606061,comendet,1,0.5494505494505495
cvrsarii,1,0.6060606060606061,composicio,1,0.5494505494505495
debello,1,0.6060606060606061,condirigat,1,0.5494505494505495
debilitacio,1,0.6060606060606061,contemptor,1,0.5494505494505495
decalvacionem,1,0.6060606060606061,contencio,1,0.5494505494505495
demanvteneat,1,0.6060606060606061,conveniencie,1,0.5494505494505495
desemparare,1,0.6060606060606061,cornare,1,0.5494505494505495
desonorem,1,0.6060606060606061,collus,1,0.5494505494505495
difidatvm,1,0.6060606060606061,cucutia,1,0.5494505494505495
dominacionem,1,0.6060606060606061,curius,1,0.5494505494505495
emparaverint,1,0.6060606060606061,dalmacii,1,0.5494505494505495
eneas,1,0.6060606060606061,dampnare,1,0.5494505494505495
engan,1,0.6060606060606061,dampnvm,1,0.5494505494505495
erola,1,0.6060606060606061,dapifer,1,0.5494505494505495
eschaza,1,0.6060606060606061,dementitvs,1,0.5494505494505495
estacamentvm,1,0.6060606060606061,deshonoraverit,1,0.5494505494505495
evulsio,1,0.6060606060606061,deshonorem,1,0.5494505494505495
exorchi,1,0.6060606060606061,desonestave,1,0.5494505494505495
exovar,1,0.6060606060606061,desonoraverit,1,0.5494505494505495
fallerit,1,0.6060606060606061,dif,1,0.5494505494505495
fallimentvm,1,0.6060606060606061,diffidamentvm,1,0.5494505494505495
fatigamentvm,1,0.6060606060606061,discooperio,1,0.5494505494505495
fevi,1,0.6060606060606061,emparamentvm,1,0.5494505494505495
fevis,1,0.6060606060606061,emparatvm,1,0.5494505494505495
fevo,1,0.6060606060606061,encalz,1,0.5494505494505495
fevos,1,0.6060606060606061,erbis,1,0.5494505494505495
fevvm,1,0.6060606060606061,evlalie,1,0.5494505494505495
fortitvdi,1,0.6060606060606061,exorchie,1,0.5494505494505495
fotiam,1,0.6060606060606061,exorchiis,1,0.5494505494505495
francvlinvm,1,0.6060606060606061,exorchis,1,0.5494505494505495
fvnibvla,1,0.6060606060606061,fars,1,0.5494505494505495
gaita,1,0.6060606060606061,ferris,1,0.5494505494505495
gavarra,1,0.6060606060606061,ferros,1,0.5494505494505495
gavfredi,1,0.6060606060606061,felix,1,0.5494505494505495
gvilaberti,1,0.6060606060606061,fevorvm,1,0.5494505494505495
gvilleimi,1,0.6060606060606061,fido,1,0.5494505494505495
gvilletmi,1,0.6060606060606061,finestretlis,1,0.5494505494505495
gvitardi,1,0.6060606060606061,finicionem,1,0.5494505494505495
homicwivm,1,0.6060606060606061,firmita,1,0.5494505494505495
hospitaverit,1,0.6060606060606061,foiia,1,0.5494505494505495
imparare,1,0.6060606060606061,forcia,1,0.5494505494505495
impregnaverit,1,0.6060606060606061,forifaciant,1,0.5494505494505495
intactus,1,0.6060606060606061,forifactvram,1,0.5494505494505495
integriter,1,0.6060606060606061,forifecerint,1,0.5494505494505495
ivdeo,1,0.6060606060606061,forifecerit,1,0.5494505494505495
lavdamentvm,1,0.6060606060606061,frigidus,1,0.5494505494505495
licencia,1,0.6060606060606061,gaitent,1,0.5494505494505495
mancvsos,1,0.6060606060606061,garrice,1,0.5494505494505495
marchi,1,0.6060606060606061,gatta,1,0.5494505494505495
marinarii,1,0.6060606060606061,gerundensis,1,0.5494505494505495
melioratus,1,0.6060606060606061,gervnde,1,0.5494505494505495
mendati,1,0.6060606060606061,girberti,1,0.5494505494505495
mentum,1,0.6060606060606061,gondeballi,1,0.5494505494505495
mercerii,1,0.6060606060606061,gosza,1,0.5494505494505495
molinum,1,0.6060606060606061,gvarda,1,0.5494505494505495
monetarius,1,0.6060606060606061,gvardam,1,0.5494505494505495
noveltos,1,0.6060606060606061,gvidasset,1,0.5494505494505495
nvncivm,1,0.6060606060606061,gvillelmi,1,0.5494505494505495
omicidio,1,0.6060606060606061,hedificare,1,0.5494505494505495
ominiatico,1,0.6060606060606061,heretici,1,0.5494505494505495
pagenses,1,0.6060606060606061,hominaticvm,1,0.5494505494505495
paschve,1,0.6060606060606061,honorifice,1,0.5494505494505495
patemo,1,0.6060606060606061,ienitores,1,0.5494505494505495
peioramento,1,0.6060606060606061,iidelitatem,1,0.5494505494505495
pensabiliter,1,0.6060606060606061,iimplvm,1,0.5494505494505495
perdonare,1,0.6060606060606061,imparet,1,0.5494505494505495
piivivm,1,0.6060606060606061,impignoraverit,1,0.5494505494505495
plivios,1,0.6060606060606061,indubius,1,0.5494505494505495
presvmpcione,1,0.6060606060606061,inienio,1,0.5494505494505495
presvmptione,1,0.6060606060606061,inieriores,1,0.5494505494505495
presvmptive,1,0.6060606060606061,ispanie,1,0.5494505494505495
presvmptvosi,1,0.6060606060606061,itiret,1,0.5494505494505495
pretaxatam,1,0.6060606060606061,iuuamen,1,0.5494505494505495
prodvm,1,0.6060606060606061,mamilla,1,0.5494505494505495
 proferimentvm,1,0.6060606060606061,marchio,1,0.5494505494505495
proienies,1,0.6060606060606061,martiris,1,0.5494505494505495
ptacitati,1,0.6060606060606061,matus,1,0.5494505494505495
ptacverit,1,0.6060606060606061,menion,1,0.5494505494505495
qverelatori,1,0.6060606060606061,mironis,1,0.5494505494505495
raimvndvs,1,0.6060606060606061,negociator,1,0.5494505494505495
rationate,1,0.6060606060606061,nioris,1,0.5494505494505495
rationevt,1,0.6060606060606061,bernmardi,1,0.5494505494505495
