reptamentvm,doc1
repto,doc1
religiosorvm,doc1
rochas,doc1
roche,doc1
rregvm,doc1
sacramen,doc1
sacramentalis,doc1
salodii’,doc1
sarracenus,doc1
sciticet,doc1
senioraticvm,doc1
servicio,doc1
servicivm,doc1
sigillum,doc1
solebani,doc1
solidantiam,doc1
sollatas,doc1
sotvat,doc1
sponsalicius,doc1
stabilierit,doc1
statice,doc1
svccvr,doc1
tavde,doc1
tavega,doc1
timencivm,doc1
tregva,doc1
tregvam,doc1
tressalidz,doc1
uiolacium,doc1
vitrarium,doc1
valencie,doc1,doc1
vassallvm,doc1
vasvassore,doc1
valle,doc1
vdalardi,doc1
vgonis,doc1
vicecomitem,doc1
vincvto,doc1
violaverit,doc1
vmberti,doc1
vsatici,doc1
vsvaiem,doc1
vsvava,doc1
yspaniam,doc2
