,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,Topic11,,,Topic12,,,Topic13,,,Topic14,,,Topic15,,,Topic16,,,Topic17,,,Topic18,,,Topic19,,,Topic20,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
principatus,3,0.3003003003003003,adolesco,2,0.20325203252032523,nolo,3,0.30612244897959184,denego,2,0.2047082906857728,fallo,3,0.29910269192422734,consuetudo,2,0.20942408376963353,aufero,2,0.20898641588296762,graecus,2,0.211864406779661,victor,2,0.20533880903490762,honestum,3,0.30303030303030304,temperamentum,3,0.2944062806673209,nubo,3,0.3144654088050315,egredior,2,0.21390374331550802,uiolo,3,0.32397408207343414,cedo,3,0.3045685279187817,manifesto,3,0.29880478087649404,caute,2,0.211864406779661,minus,3,0.28517110266159695,ios,2,0.2004008016032064,alibi,2,0.21253985122210414
disciplina,3,0.3003003003003003,alo,2,0.20325203252032523,pauper,3,0.30612244897959184,euangelium,2,0.2047082906857728,fraudo,3,0.29910269192422734,decedo,2,0.20942408376963353,beneficium,2,0.20898641588296762,ion,2,0.211864406779661,adduco,2,0.20533880903490762,intercedo,3,0.30303030303030304,ter,3,0.2944062806673209,par,3,0.3144654088050315,ingratus,2,0.21390374331550802,romani,2,0.21598272138228944,dominium,3,0.3045685279187817,mater,3,0.29880478087649404,consensus,2,0.211864406779661,neptis,3,0.28517110266159695,longus,2,0.2004008016032064,annus,2,0.21253985122210414
circa,2,0.20020020020020018,amitto,2,0.20325203252032523,pignus,3,0.30612244897959184,expendo,2,0.2047082906857728,iacio,3,0.29910269192422734,detrimentum,2,0.20942408376963353,codex,2,0.20898641588296762,nisus,2,0.211864406779661,appellatio,2,0.20533880903490762,ira,3,0.30303030303030304,uitiosus,3,0.2944062806673209,proprium,3,0.3144654088050315,inhonestus,2,0.21390374331550802,secundus,2,0.21598272138228944,excipio,3,0.3045685279187817,periculum,3,0.29880478087649404,for,2,0.211864406779661,noster,3,0.28517110266159695,primus,2,0.2004008016032064,asinus,2,0.21253985122210414
nepos,2,0.20020020020020018,arbitrium,2,0.20325203252032523,sion,3,0.30612244897959184,impedio,2,0.2047082906857728,injustum,3,0.29910269192422734,dolo,2,0.20942408376963353,consequentia,2,0.20898641588296762,tutor,2,0.211864406779661,breue,2,0.20533880903490762,obtineo,3,0.30303030303030304,virgo,3,0.2944062806673209,uis,3,0.3144654088050315,laudo,2,0.21390374331550802,xxv,2,0.21598272138228944,idcirco,3,0.3045685279187817,propinquus,3,0.29880478087649404,habeo,2,0.211864406779661,ostendo,3,0.28517110266159695,secundus,2,0.2004008016032064,compello,2,0.21253985122210414
tertia,2,0.20020020020020018,ceterum,2,0.20325203252032523,vereor,3,0.30612244897959184,impero,2,0.2047082906857728,malum,3,0.29910269192422734,electio,2,0.20942408376963353,corpus,2,0.20898641588296762,actum,2,0.211864406779661,coercitio,2,0.20533880903490762,pedis,3,0.30303030303030304,amissio,3,0.2944062806673209,vulnus,3,0.3144654088050315,namque,2,0.21390374331550802,aequalis,2,0.21598272138228944,jungo,3,0.3045685279187817,propter,3,0.29880478087649404,idoneus,2,0.211864406779661,pater,3,0.28517110266159695,absum,2,0.2004008016032064,confessus,2,0.21253985122210414
aucto,2,0.20020020020020018,colligo,2,0.20325203252032523,viginti,3,0.30612244897959184,indicium,2,0.2047082906857728,messis,3,0.29910269192422734,erogo,2,0.20942408376963353,crimen,2,0.20898641588296762,administratio,2,0.211864406779661,concilium,2,0.20533880903490762,quidam,3,0.30303030303030304,vestimentum,3,0.2944062806673209,galli,3,0.3144654088050315,obtendo,2,0.21390374331550802,aliud,2,0.21598272138228944,ludo,3,0.3045685279187817,querela,3,0.29880478087649404,ignarus,2,0.211864406779661,pondus,3,0.28517110266159695,alienatio,2,0.2004008016032064,consequor,2,0.21253985122210414
auus,2,0.20020020020020018,colo,2,0.20325203252032523,transcendo,3,0.30612244897959184,indico,2,0.2047082906857728,neque,3,0.29910269192422734,erro,2,0.20942408376963353,dum,2,0.20898641588296762,aequalis,2,0.211864406779661,confirmatus,2,0.20533880903490762,quoniam,3,0.30303030303030304,creo,3,0.2944062806673209,definitio,3,0.3144654088050315,officio,2,0.21390374331550802,ars,2,0.21598272138228944,manus,3,0.3045685279187817,sero,3,0.29880478087649404,leuis,2,0.211864406779661,quisquis,3,0.28517110266159695,carcer,2,0.2004008016032064,contentio,2,0.21253985122210414
biduum,2,0.20020020020020018,culpa,2,0.20325203252032523,lux,3,0.30612244897959184,inferior,2,0.2047082906857728,patria,3,0.29910269192422734,etsi,2,0.20942408376963353,elugeo,2,0.20898641588296762,audeo,2,0.211864406779661,constringo,2,0.20533880903490762,socia,3,0.30303030303030304,primus,2,0.19627085377821393,iii,2,0.20964360587002098,praeceptum,2,0.21390374331550802,calo,2,0.21598272138228944,meo,3,0.3045685279187817,spatium,3,0.29880478087649404,liceo,2,0.211864406779661,sane,3,0.28517110266159695,censeo,2,0.2004008016032064,dimidium,2,0.21253985122210414
cado,2,0.20020020020020018,deprehendo,2,0.20325203252032523,similitudo,3,0.30612244897959184,justitia,2,0.2047082906857728,publice,3,0.29910269192422734,incestus,2,0.20942408376963353,flagello,2,0.20898641588296762,commissum,2,0.211864406779661,desum,2,0.20533880903490762,triginta,3,0.30303030303030304,romani,2,0.19627085377821393,tertia,2,0.20964360587002098,quidem,2,0.21390374331550802,concipio,2,0.21598272138228944,nequeo,3,0.3045685279187817,tracto,3,0.29880478087649404,mediocris,2,0.211864406779661,similiter,3,0.28517110266159695,commune,2,0.2004008016032064,duo,2,0.21253985122210414
capio,2,0.20020020020020018,divisio,2,0.20325203252032523,annius,2,0.20408163265306123,maritus,2,0.2047082906857728,recedo,3,0.29910269192422734,intestatus,2,0.20942408376963353,frequento,2,0.20898641588296762,concipio,2,0.211864406779661,discutio,2,0.20533880903490762,occulo,3,0.30303030303030304,aliqui,2,0.19627085377821393,alter,2,0.20964360587002098,signo,2,0.21390374331550802,confirmo,2,0.21598272138228944,noceo,3,0.3045685279187817,dens,3,0.29880478087649404,mutuor,2,0.211864406779661,pius,3,0.28517110266159695,contestor,2,0.2004008016032064,duplex,2,0.21253985122210414
certe,2,0.20020020020020018,dolo,2,0.20325203252032523,falcidius,2,0.20408163265306123,miles,2,0.2047082906857728,reverto,3,0.29910269192422734,libeo,2,0.20942408376963353,fundus,2,0.20898641588296762,contrarium,2,0.211864406779661,furtum,2,0.20533880903490762,sanguino,3,0.30303030303030304,alium,2,0.19627085377821393,alto,2,0.20964360587002098,suscipio,2,0.21390374331550802,cruciatus,2,0.21598272138228944,offero,3,0.3045685279187817,nequitia,3,0.29880478087649404,necessitas,2,0.211864406779661,auro,3,0.28517110266159695,dico,2,0.2004008016032064,flo,2,0.21253985122210414
commune,2,0.20020020020020018,exactor,2,0.20325203252032523,libera,2,0.20408163265306123,minor,2,0.2047082906857728,sto,3,0.29910269192422734,malum,2,0.20942408376963353,honestus,2,0.20898641588296762,desero,2,0.211864406779661,imprimo,2,0.20533880903490762,commemoratio,3,0.30303030303030304,alto,2,0.19627085377821393,armo,2,0.20964360587002098,taceo,2,0.21390374331550802,dato,2,0.21598272138228944,placeo,3,0.3045685279187817,ualidus,3,0.29880478087649404,nouus,2,0.211864406779661,directum,3,0.28517110266159695,diversus,2,0.2004008016032064,inopia,2,0.21253985122210414
